Year,지역,Value
2001,수도권,11575
2002,수도권,12115
2003,수도권,12712
2004,수도권,13435
2005,수도권,13989
2006,수도권,14691
2007,수도권,15624
2008,수도권,16225
2009,수도권,16168
2010,수도권,17044
2011,수도권,17754
2012,수도권,18314
2013,수도권,17896
2014,수도권,18034
2015,수도권,19797
2016,수도권,20156
2017,수도권,20463
2018,수도권,21477
2019,수도권,21791
2020,수도권,22829
2001,서울,12472
2002,서울,13152
2003,서울,13946
2004,서울,14717
2005,서울,15380
2006,서울,16061
2007,서울,17347
2008,서울,17893
2009,서울,17843
2010,서울,19019
2011,서울,20013
2012,서울,20543
2013,서울,19998
2014,서울,19936
2015,서울,21734
2016,서울,22019
2017,서울,22415
2018,서울,23790
2019,서울,23945
2020,서울,24845
2001,인천,9489
2002,인천,9981
2003,인천,10535
2004,인천,11212
2005,인천,11763
2006,인천,12348
2007,인천,12876
2008,인천,13426
2009,인천,13686
2010,인천,14547
2011,인천,14912
2012,인천,15500
2013,인천,15189
2014,인천,15588
2015,인천,17295
2016,인천,17808
2017,인천,18027
2018,인천,19033
2019,인천,19555
2020,인천,20787
2001,경기,11180
2002,경기,11613
2003,경기,12042
2004,경기,12748
2005,경기,13217
2006,경기,13983
2007,경기,14711
2008,경기,15396
2009,경기,15268
2010,경기,15913
2011,경기,16492
2012,경기,17102
2013,경기,16796
2014,경기,17058
2015,경기,18828
2016,경기,19244
2017,경기,19529
2018,경기,20306
2019,경기,20717
2020,경기,21834
2001,도쿄,16871
2002,도쿄,18242
2003,도쿄,19254
2004,도쿄,19821
2005,도쿄,20953
2006,도쿄,22353
2007,도쿄,22826
2008,도쿄,23732
2009,도쿄,24114
2010,도쿄,23858
2011,도쿄,24488
2012,도쿄,25379
2013,도쿄,26429
2014,도쿄,26489
2015,도쿄,26466
2016,도쿄,25198
2017,도쿄,25147
2001,오사카,14468
2002,오사카,15618
2003,오사카,16032
2004,오사카,16823
2005,오사카,17336
2006,오사카,16985
2007,오사카,17491
2008,오사카,18281
2009,오사카,18703
2010,오사카,19054
2011,오사카,19743
2012,오사카,20326
2013,오사카,21067
2014,오사카,20680
2015,오사카,21083
2016,오사카,20058
2017,오사카,20208
2001,뉴욕,30616
2002,뉴욕,31740
2003,뉴욕,32440
2004,뉴욕,33755
2005,뉴욕,34732
2006,뉴욕,37008
2007,뉴욕,39320
2008,뉴욕,40095
2009,뉴욕,41003
2010,뉴욕,42251
2011,뉴욕,43818
2012,뉴욕,46227
2013,뉴욕,45683
2014,뉴욕,47391
2015,뉴욕,49147
2016,뉴욕,51545
2017,뉴욕,55294
2018,뉴욕,57874
2019,뉴욕,60359
2001,프랑스,15955
2002,프랑스,16591
2003,프랑스,16263
2004,프랑스,16762
2005,프랑스,17404
2006,프랑스,18173
2007,프랑스,19036
2008,프랑스,19531
2009,프랑스,19827
2010,프랑스,20540
2011,프랑스,21172
2012,프랑스,21191
2013,프랑스,21553
2014,프랑스,21727
2015,프랑스,21584
2016,프랑스,22568
2017,프랑스,23040
2018,프랑스,23880
2019,프랑스,24409
2001,베를린,16115
2002,베를린,16044
2003,베를린,15997
2004,베를린,16849
2005,베를린,16956
2006,베를린,17623
2007,베를린,17870
2008,베를린,18569
2009,베를린,19085
2010,베를린,20040
2011,베를린,21593
2012,베를린,21135
2013,베를린,21447
2014,베를린,21810
2015,베를린,22167
2016,베를린,23330
2017,베를린,24485
2018,베를린,25835
2019,베를린,25714
2001,런던,20739
2002,런던,20750
2003,런던,21472
2004,런던,22900
2005,런던,23638
2006,런던,25196
2007,런던,26453
2008,런던,27292
2009,런던,26544
2010,런던,26461
2011,런던,26357
2012,런던,27784
2013,런던,28944
2014,런던,29657
2015,런던,31463
2016,런던,32605
2017,런던,33231
2018,런던,37626
2019,런던,38274
2001,스톡홀롬,15041
2002,스톡홀롬,15672
2003,스톡홀롬,15501
2004,스톡홀롬,15858
2005,스톡홀롬,16536
2006,스톡홀롬,17893
2007,스톡홀롬,19606
2008,스톡홀롬,21074
2009,스톡홀롬,21394
2010,스톡홀롬,21936
2011,스톡홀롬,22888
2012,스톡홀롬,23922
2013,스톡홀롬,24392
2014,스톡홀롬,24502
2015,스톡홀롬,24642
2016,스톡홀롬,25486
2017,스톡홀롬,25563
2018,스톡홀롬,26585
2019,스톡홀롬,27215
2020,스톡홀롬,27570
